chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL156429;Mus musculus;CS/C(=C\c1ccc2ccccc2[n+]1C)NCCCO.[I-];50.0
CHEMBL15640;Mus musculus;C/C=C/c1ccc(OC(C)C(=O)NCCCNC(=O)C2=CC(C)(C)NC2(C)C)c(OC)c1;14.0
CHEMBL156398;Rattus norvegicus;C=Cn1c(-c2ccc(OC)cc2)nc2c3ccccc3ccc21;1000.0
CHEMBL156382;Mus musculus;COC(=O)NC1=NC(c2ccccc2C)CN1;300.0
CHEMBL156330;Mus musculus;COC(=O)NC1=NC(c2ccccc2)C(C)N1;200.0
CHEMBL156296;Rattus norvegicus;CCOc1ccc(-c2nc3c4ccccc4ccc3n2C)cc1;1000.0
CHEMBL15628;Mus musculus;CC1(C)C=C(C(=O)NCCNCc2ccccc2O)C(C)(C)N1;30.0
CHEMBL15626;Mus musculus;CC1(C)C=C(C(=O)NCCNCc2cccs2)C(C)(C)N1;123.0
CHEMBL156242;Rattus norvegicus;Cn1c(-c2ccc(OCC(=O)O)cc2)nc2c3ccccc3ccc21;1000.0
CHEMBL156203;Mus musculus;CS/C(=C\c1cccc[n+]1C)N1CCN(C)CC1.[I-];60.0
CHEMBL15620;Mus musculus;Cc1nc2ccccc2c(=O)n1CC(O)CNC(=O)C1=CC(C)(C)NC1(C)C;73.0
CHEMBL156185;Mus musculus;CSSc1cccc2cccc(COC(C)=O)c12;1000.0
CHEMBL15618;Mus musculus;CCc1nc2ccccc2c(=O)n1CCCNC(=O)C1CC(C)(C)NC1(C)C;22.0
CHEMBL15615;Mus musculus;Cc1cccc(C)c1NC(=O)C(C)NCCCNC(=O)C1=CC(C)(C)NC1(C)C;26.0
CHEMBL156116;Mus musculus;CCCCCCc1ccc(C2CN=C(NC(=O)OC)N2)cc1;200.0
CHEMBL156115;Mus musculus;CCOC(=O)NC1=NC(c2ccc(C(C)C)cc2)CN1;200.0
CHEMBL15610;Mus musculus;CC1(C)C=C(C(=O)NCCCNCc2ccc(OCc3ccccc3)cc2)C(C)(C)N1;20.0
